# {'par': {'k': 10; 'D': 0.1; 'v': 0.5; 'tau': 20.0; 'R': 0.5; 'label': '(tau_20)'}; 'guess_range': ([-275; 24; 150]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.06997,-1.728,[ 0.06996932 -1.72780897],9.585838900642019e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99982138, -0.01890019],
       [ 0.01890019, -0.99982138]]), 'r': array([-7.43623741e+02,  2.00226810e-04, -7.43623734e+02]), 'qtf': array([-1.60000388e-14, -9.45136472e-14]), 'fvec': array([1.42108547e-14, 9.47991685e-14])}",7
0.06997,1.728,[6.06 2.  ],9.585838900642019e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99982138,  0.01890019],
       [-0.01890019, -0.99982138]]), 'r': array([-7.43623741e+02,  1.84334968e-04, -7.43623751e+02]), 'qtf': array([-1.60000388e-14,  9.45136472e-14]), 'fvec': array([ 1.42108547e-14, -9.47991685e-14])}",7
0.06378,2.041,[0.08 2.  ],1.709743457922741e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9997889 ,  0.02054635],
       [-0.02054635, -0.9997889 ]]), 'r': array([-7.44188147e+02,  2.33133114e-04, -7.44188136e+02]), 'qtf': array([-3.51289815e-16,  1.70938253e-14]), 'fvec': array([ 0.00000000e+00, -1.70974346e-14])}",2
0.06378,-2.041,[ 0.06377571 -2.04112762],1.709743457922741e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9997889 , -0.02054635],
       [ 0.02054635, -0.9997889 ]]), 'r': array([-7.44188147e+02,  2.20659412e-04, -7.44188136e+02]), 'qtf': array([-3.51289815e-16, -1.70938253e-14]), 'fvec': array([0.00000000e+00, 1.70974346e-14])}",2
0.02835,3.605,[10.04666667  4.        ],4.585100121495709e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99971916,  0.02369816],
       [-0.02369816, -0.99971916]]), 'r': array([-7.46094738e+02,  3.16805677e-04, -7.46094783e+02]), 'qtf': array([-8.17688999e-15,  4.51159925e-14]), 'fvec': array([ 7.10542736e-15, -4.52970994e-14])}",8
0.02835,-3.605,[ 0.02835308 -3.60480678],4.585100121495709e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99971916, -0.02369816],
       [ 0.02369816, -0.99971916]]), 'r': array([-7.46094738e+02,  4.89576273e-04, -7.46094753e+02]), 'qtf': array([-8.17688999e-15, -4.51159925e-14]), 'fvec': array([7.10542736e-15, 4.52970994e-14])}",8
0.02094,3.917,[0.08 4.  ],1.8665276054262033e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99971761,  0.02376334],
       [-0.02376334, -0.99971761]]), 'r': array([-7.46348120e+02,  3.28495564e-04, -7.46348129e+02]), 'qtf': array([-2.67114264e-15, -1.86633647e-13]), 'fvec': array([7.10542736e-15, 1.86517468e-13])}",4
0.02094,-3.917,[ 0.02093659 -3.91712751],1.8665276054262033e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99971761, -0.02376334],
       [ 0.02376334, -0.99971761]]), 'r': array([-7.46348120e+02,  5.47883482e-04, -7.46348107e+02]), 'qtf': array([-2.67114264e-15,  1.86633647e-13]), 'fvec': array([ 7.10542736e-15, -1.86517468e-13])}",4
-0.01578,-5.477,[-0.01578414 -5.47739424],2.5618982671915015e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99973307, -0.0231038 ],
       [ 0.0231038 , -0.99973307]]), 'r': array([-7.47319911e+02,  4.95874123e-04, -7.47319844e+02]), 'qtf': array([-8.29721715e-15,  2.56055431e-13]), 'fvec': array([ 1.42108547e-14, -2.55795385e-13])}",1
-0.01578,5.477,[4.06666667 6.        ],2.5618982671915015e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99973307,  0.0231038 ],
       [-0.0231038 , -0.99973307]]), 'r': array([-7.47319911e+02,  7.33437903e-04, -7.47319879e+02]), 'qtf': array([-8.29721715e-15, -2.56055431e-13]), 'fvec': array([1.42108547e-14, 2.55795385e-13])}",1
-0.02296,-5.789,[-0.02295525 -5.7892299 ],1.192278218876896e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99973835, -0.0228744 ],
       [ 0.0228744 , -0.99973835]]), 'r': array([-7.47473532e+02,  6.20953459e-04, -7.47473531e+02]), 'qtf': array([-9.82598514e-15, -1.18822235e-13]), 'fvec': array([7.10542736e-15, 1.19015908e-13])}",5
-0.02296,5.789,[6.06 6.  ],1.192278218876896e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99973835,  0.0228744 ],
       [-0.0228744 , -0.99973835]]), 'r': array([-7.47473532e+02,  6.77547087e-04, -7.47473559e+02]), 'qtf': array([-9.82598514e-15,  1.18822235e-13]), 'fvec': array([ 7.10542736e-15, -1.19015908e-13])}",5
-0.03005,-6.101,[-0.03005117 -6.10100535],1.5470630195439841e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99974387, -0.02263161],
       [ 0.02263161, -0.99974387]]), 'r': array([-7.47616805e+02,  5.58464607e-04, -7.47616747e+02]), 'qtf': array([1.06011652e-14, 1.54342655e-13]), 'fvec': array([-7.10542736e-15, -1.54543045e-13])}",1
-0.03005,6.101,[0.08 6.  ],1.5470630195439841e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99974387,  0.02263161],
       [-0.02263161, -0.99974387]]), 'r': array([-7.47616805e+02,  8.10424939e-04, -7.47616772e+02]), 'qtf': array([ 1.06011652e-14, -1.54342655e-13]), 'fvec': array([-7.10542736e-15,  1.54543045e-13])}",1
-0.06432,7.659,[12.04  8.  ],3.091677508470435e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99977239,  0.02133484],
       [-0.02133484, -0.99977239]]), 'r': array([-7.48196005e+02,  9.13421839e-04, -7.48195983e+02]), 'qtf': array([5.09508094e-16, 3.09167331e-13]), 'fvec': array([-7.10542736e-15, -3.09086090e-13])}",7
-0.06432,-7.659,[-0.06432005 -7.65912091],3.091677508470435e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99977239, -0.02133484],
       [ 0.02133484, -0.99977239]]), 'r': array([-7.48196005e+02,  8.07729969e-04, -7.48195946e+02]), 'qtf': array([ 5.09508094e-16, -3.09167331e-13]), 'fvec': array([-7.10542736e-15,  3.09086090e-13])}",7
-0.07093,7.971,[0.08 8.  ],3.162713435991701e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99977792,  0.02107371],
       [-0.02107371, -0.99977792]]), 'r': array([-7.48287468e+02,  9.48872373e-04, -7.48287510e+02]), 'qtf': array([-1.37671771e-14,  3.15971561e-13]), 'fvec': array([ 7.10542736e-15, -3.16191517e-13])}",4
-0.07093,-7.971,[-0.07092651 -7.97061683],3.162713435991701e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99977792, -0.02107371],
       [ 0.02107371, -0.99977792]]), 'r': array([-7.48287468e+02,  8.43871663e-04, -7.48287455e+02]), 'qtf': array([-1.37671771e-14, -3.15971561e-13]), 'fvec': array([7.10542736e-15, 3.16191517e-13])}",4
-0.1089,9.839,[ 2.07333333 10.        ],9.059419880941277e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99980842,  0.01957328],
       [-0.01957328, -0.99980842]]), 'r': array([-7.48697566e+02,  1.10909968e-03, -7.48697591e+02]), 'qtf': array([ 1.77322585e-15, -9.05768432e-14]), 'fvec': array([0.00000000e+00, 9.05941988e-14])}",9
